web-scraper-order,web-scraper-start-url,vehicle-name,vehicle-desc,mileage,price,pagination
"1712863802-1","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Mazda MX-30 GT Entièrement électrique , 160 km D'autonomie! He","Heated front seats, freestyle rear doors, Sunroof, Navigation, Electric EV, Heads up display, back up camera, heated steering wheel, Aerial view camera system, Lane keeping system, Adaptive cruise control

Coussin gonflable pour le conducteur,Coussin gonflable pour le passage...","27,707 km","$24,995",""
"1712863802-2","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Audi Q4 e-tron EV Komfort quattro komfort | Moon Roof / quattro k","**Moteurs électrique**Transmission automatique 1 vitesse
**Sièges avant chauffants**Système audio**Toit ouvrant panoramique**Système de navigation**Caméra de recul**Climatisation automatique
**Roues de 19 pouces*Pourquoi acheter chez nous ?*Admissible à la garantie limitée Aud...","5,923 km","$58,995",""
"1712863802-3","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2018 Chevrolet Bolt EV 5dr Wgn LT","EV Électrique, Climatiseur, Bancs et Volant Chauffants, Caméra e recul, Cruise, Gr. Électrique, Mags et Bluetooth.
Inspection Mécanique et Carfax fourni!

FINANCEMENT DISPONIBLE!","66,068 km","$22,988",""
"1712863802-4","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Kia Optima PHEV EX HYBRID BAS KILOS","Le Kia Optima PHEV 2020 est une voiture hybride rechargeable offrant une combinaison de performances écoénergétiques et de fonctionnalités avancées. Proposé sur le marché canadien, ce modèle se distingue par plusieurs avantages et équipements de série.

Sous le capot, le Kia O...","45,669 km","$30,985",""
"1712863802-5","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Ioniq Preferred","","39,169 km","$38,895",""
"1712863802-6","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Toyota bZ4X XLE AWD Technology pack.Caméra 360 Cuir Carplay+++","Un seul propriétaire / Jamais accidenté / Certifié Toyota / Inspection 160 points / Comme neuf! / Très propre!!! / Modèle Techology / Traction intégrale ++++

Léveillé Toyota est présent depuis plus de 51 ans à Terrebonne, QC grâce à son souci d'un service à la clientèle de pr...","8,984 km","$47,997",""
"1712863802-7","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2018 BMW i3 Auto w-Range Extender","BMW - I3
4 portes ( 2 papillons )
2018 BMW i3 W/ RANGE EXTENDER,  -
Systeme de navigation- Rétroviseurs électriques rétractables- Afficheur électronique des commandes de bord -Conduite éco ou performante - Freinage par décélération - Climatisation pre-programmable - Recharge p...","105,000 km","$26,500",""
"1712863802-8","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Kona Electric Ultimate FWD","Acheté neuf en 2022, garantie prolongée 8 ans transférable, un seul proprio, tapis d'hiver moulés, pneus 4 saison et d'hiver (Michelin X-Ice)","33,000 km","$33,995",""
"1712863802-9","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Audi e-tron TECHNIK ORANGE CALIPER | DRIVER ASSIST | TOIT |NAV","Vous êtes à la recherche d'une Audi E-Tron Technik Quattro 2021 d'occasion à vendre dans les Laurentides, dans les régions de St-Jérôme, Blainville ou encore Terrebonne? Audi Blainville, votre concessionnaire Audi de référence dans les Laurentides, situé en face des Premium Ou...","27,895 km","$62,995",""
"1712863802-10","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Chevrolet Bolt EV EV/GROUPE CHAUFFANT/JANTES/CAMERA/DEMARREUR","JAMAIS ACCIDENTÉ, CARFAX DISPONIBLE, GARANTI CERTIFIÉ, VÉHICULES ÉLECTRIQUE, TRANSMISSION AUTOMATIQUE, KILOMÈTRAGE CERTIFIÉ, JANTES EN ALLIAGE, SYSTÈME BLUETOOTH, SYSTÈME APPLE CARPLAY, SYSTÈME ANDROID AUTO, ÉCRAN TACTILE, CAMERA DE RECUL, APPUYER POUR DÉMARRER, DÉMARRAGE À DI...","96,401 km","$24,995",""
"1712863802-11","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Mercedes-Benz EQB 350 4MATIC SUV","'**PLUS DE 5000$ EN OPTIONS**VOITURE ENTIÈREMENT ÉLECTRIQUE AVEC UNE AUTONOMIE DE PLUS DE 400KM - ENSEMBLE NUIT - 7 PLACES - Jamais Accidenté, Rapport Carproof/Carfax à lappuie. Garantie Prolongée Mercedes-Benz disponible jusquà 7 ans ou 160 000km*. Garantie de base Mercedes-B...","9,000 km","$68,900",""
"1712863802-12","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Mercedes-Benz EQE 350 4MATIC Sedan","**BERLINE 100% ELECTRIQUE 4 MATIC // AUTONOMIE ANNONCÉ JUSQU'A 418KM // GARNITURE EXCLUSIVE // REALITÉ AUGMENTÉ MBUX // DISTRONIC PLUS // DIGITAL LIGHT // CAMERA 360 // BURMESTER // TOIT PANORAMIQUE // NAVIGATION // KEYLESS GO // LUMIERE DAMBIANCE // DETECTEUR DE LIGNE // CUIR...","9,150 km","$82,888",""
"1712863802-13","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 BMW iX XDrive40 Premium Essential / Premium Essential","Premium Essential Package/Ensemble
Accès Confort / Comfort Access
Pare-brise à isolation thermique / Thermally Insulated Windshield
Toit Panoramique Sky Lounge Panorama Sunroof
Sièges avant multifonctions / Multifunction Front Seats
Chargement sans fil des appareils / Wireles...","20,682 km","$69,977",""
"1712863802-14","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Kia Niro EV EX | SIÈGES ET VOLANT CHAUFFANTS | CAMERA | MAGS |","JAMAIS ACCIDENTÉ, 1 PROPRIETAIRE -VÉHICULE ÉLECTRIQUE -385 KM D'AUTONOMIE -SIÈGES ET VOLANT CHAUFFANTS -BLUETOOTH -ÉCRAN TACTILE -APPLE CARPLAY -RÉGULATEUR DE VITESSE -CLIMATISATION -MAGS -PORTES ET FENÊTRES ÉLECTRIQUES -ET BIEN PLUS! Accédez à notre vaste inventaire de plus d...","35,773 km","$33,175",""
"1712863802-15","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Audi e-tron Technik Quattro","**Véhicule situé au 2361 Boul Curé Labelle Saint-Jérôme chez Giroux Occasion**

Giroux Occasion sélectionne les meilleurs véhicules pour faire partie de l'inventaire. Tous les véhicules d'occasion ont fait l'objet d'une mise au point complète, le tout effectué par nos technici...","32,570 km","$58,584",""
"1712863802-16","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Audi e-tron Sportback PROGRESSIV QUATTRO //BLACK OPTICS PACKAGE//","","67,821 km","$53,795",""
"1712863802-17","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Subaru Solterra AWD + GROUPE DE LUXE + GARANTIE + NAVI + CUIR!!","* * GARANTIE SUBARU JUSQU'AU 6 NOVEMBRE 2027 / 100 000 KM * * 

+ JAMAIS ACCIDENTE
+ NAVIGATION
+ INTERIEUR EN CUIR 
+ SIEGES CONDUCTEUR AVEC MEMOIRE
+ SIEGES AVANT CHAUFFANT
+ SIEGES ARRIERE CHAUFFANT
+ VOLANT CHAUFFANT
+ PARE BRISE CHAUFFANT 
+ ÉCRAN TACTILE DE 12,3 POUCES 
...","31,702 km","$39,789",""
"1712863802-18","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Nissan Ariya PLATINUM+ MAGS CAM RECUL BLUETOOTH","ÉCONOMISEZ 17 000$! BAS KILOMÉTRAGE, BALANCE DE GARANTIE, Caméra de recul, Ensemble audio premium, Système de navigation, Bluetooth, Sièges Chauffants ACHAT 100% EN LIGNE disponible. QUALITÉ CERTIFIÉE : Inspection en plus de 150 points et satisfaction garantie 7 jours ou argen...","17,759 km","$52,998",""
"1712863802-19","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Ford Mustang Mach-E Sélect AWD * BATTERIE STANDARD* GROUPE TECH/CONFOR","**Historique Carfax Complet, Aucune réclamation **
** Véhicule repris en échange d'un client maison **

Sièges en cuir
Ford Co-pilote 360
Cable de recharge
ensemble confort/technologie 
Volant chauffant

Inspection Qualité Certifié 121 points sur tous nos véhicules en inventai...","54,687 km","$32,595",""
"1712863802-20","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2024 Hyundai Ioniq Electric SEL","","14,949 km","$54,695",""
"1712863802-21","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Nissan Ariya EVOLVE e-4ORCE AWD CUIR TOIT PANORAMIQUE CAMERA 36","","7,830 km","$48,995",""
"1712863802-22","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Volvo S60 Polestar + GPS/NAV + CUIR + TOIT + CAMÉRA +++ CONT","FINANCEMENT À PARTIR DE 5.99% *** DOSSIER 100% APPROUVÉ, AUCUN CAS REFUSÉ *** 2e et 3e chance au crédit!!! Retard de paiement ou crédit en difficulté nous avons les spécialistes sur place. Nous reprenons tous vos échanges! + JAMAIS ACCIDENTÉ + SIÈGES CHAUFFANTS + RÉGULATEUR DE...","41,917 km","$58,589",""
"1712863802-23","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Ford Mustang Mach-E Premium AWD | BATTERIE LONGUE DURÉE 88KWH | 435KM","Très belle Mach-E en version Premium incluant le système audio B&O, la batterie longue durée 88 KWH à 435 km d'autonomie ainsi que la traction intégrale! Jamais accidenté avec financement disponible! - Version Premium - 4x4 - Chaine audio B&O - Batterie longue durée 88 KWH ave...","87,128 km","$33,975",""
"1712863802-24","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Nissan LEAF SV* ELECTRIQUE* SIÈGES CHAUFFANTS* GPS* A/C* MAGS*","VOLANT CHAUFFANT* MAGS 17 POUCES* Venez vous inspirer de notre expérience GMC/Chevrolet/Buick/Cadillac à son meilleur. Vous pouvez désormais créer un garage virtuel, enchérir sur un ou plusieurs véhicules à la fois, faire une demande de financement, déposer une caution et mêm...","6,033 km","$28,992",""
"1712863802-25","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai IONIQ 5 Preferred grande autonomie TI","// JAMAIS ACCIDENTÉ! //

Faites l'expérience d'une mobilité électrique fiable et innovante avec le Hyundai IONIQ 5 Preferred grande autonomie TI 2022. Conu avec des caractéristiques en tête de sa catégorie, ce véhicule sera à la hauteur de vos attentes en matière de durabilité...","40,000 km","$41,945",""
"1712863802-26","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Audi e-tron TECHNIK DRIVER ASSIST","VUS 2019 AUDI E-TRON 55 QUATTRO TECHNIK, 21 PCS, DRIVER ASSISTANCE PACK, ORANGE CALIPER. AUCUN FRAIS CACHÉS, PIÈCES D'ORIGINES SEULEMENT, UNE TRANSACTION CLÉ EN MAIN.LA TRANQUILITÉ D'ESPRIT D'ACHETER VOTRE AUDI CHEZ UNCONCESSIONNAIRE AUDI RECONNU DEPUIS 55 ANS!INSPECTÉ ET PRÉP...","62,009 km","$45,995",""
"1712863802-27","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Audi Q4 e-tron Progressiv 50 quattro BAS KILO. TOIT PANORAMIQUE","Le Audi Q4 e-tron 2022 incarne l'avenir de la conduite électrique, offrant une combinaison imbattable de performances électriques, de technologie de pointe et de design élégant. Adapté aux routes canadiennes, ce SUV électrique de luxe est conu pour répondre aux besoins des con...","28,466 km","$49,885",""
"1712863802-28","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Audi e-tron GT Base","","10,441 km","$96,218",""
"1712863802-29","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai IONIQ 5 Preferred | UN SEUL PROPRIO | CAMÉRA DE RECUL | BA","**CAMÉRA DE RECUL**TRÈS BAS KILOMÉTRAGE SUR L'ODOMÈTRE**350 KM D'AUTONOMIE**DÉTÉCTION D'ANGLE MORT**APPLE CARPLAY**ANDROID AUTO ET BIEN PLUS ENCORE**

Passez nous voir! On vous attend!!!

Voiture inspectée par un technicien 

Nous sommes ouverts les samedis! 

Problème de cré...","25,147 km","$38,735",""
"1712863802-30","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Volkswagen ID.4 PRO+AWD+4MOTION+THERMOPOMPE PRO+AWD+4MOTION+THERMO","2022, ID4, 100% ELECTRIQUE, AWD, 4MOTION TRACTION INTEGRALE, SIEGES CHAUFFANTS, AIR CLIMATISE AUTOMATIQUE, CRUISE CONTROL, BLUETOOTH, CAMERA DE RECUL, CARPLAY, ANDROID AUTO, MAGS 19 POUCES, VOLANT CHAUFFANT, THERMOPOMPE, ET BEAUCOUP PLUS! A VOIR EN CONCESSION. CONDITION IMPEC...","50,101 km","$38,790",""
"1712863802-31","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Mitsubishi Outlander PHEV GT S-AWC CUIR+AFFICHAGE-TÊTE HAUTE+SYSTEME BOSE","JAMAIS ACCIDENTÉ
UN SEUL PROPRIÉTAIRE
HYBRIDE RECHARGABLE PHEV
TRACTION INTÉGRALE AWD
CAMÉRA DE RECUL
NAVIGATION
SIÈGES CHAUFFANT
APPLE CAR PLAY / ANDROID AUTO
BLUETOOTH
PHARES AUTOMATIQUES
SIÈGES A COMMANDE ÉLECTRIQUE
TOIT PANORAMIQUE
VOLANT CHAUFFANT
SYSTÈME DE SON BOSE
AFFI...","7,800 km","$46,997",""
"1712863802-32","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Audi Q4 e-tron QUATTRO | PANORAMIQUE SUNROOF - NAVIGATION+| / | T","Balance Garantie Audi

** INSPECTION COMPLÈTE, RAPPORT CARFAX DISPONIBLE ** 

POUR PRENDRE UN RENDEZ-VOUS POUR OU POUR PLUS DE DÉTAILS, VEILLEZ COMMUNIQUER AU ********** OU PAR COURRIEL : ********** 
**FINANCEMENT** 

GROUPE BARNABÉ OFFRE LE FINANCEMENT À DES TAUX TRÈS AVANTA...","4,874 km","$54,990",""
"1712863802-33","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Kia EV6 GT awd - 576HP - 0-100 3.2SEC","UN VÉHICULE QUI FAIS LE 0-100 EN 3 SECONDES, JUSQU'À 260KM/H ET LE 1/4 DE MILES EN 11.4 SECONDES. UNE VRAI BOMBE 100% ÉLECTRIQUE! BANC SPORT GT CUIR/SUÈDE - HEADS UP DISPLAY AVEC REALITÉ AUGMENTÉE - ÉCRAN PANORAMIQUE - TOIT PANORAMIQUE - MAG ET PNEUS 21 PO - BANC ET VOLANT CHA...","15,265 km","$61,995",""
"1712863802-34","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Genesis Electrified GV70 PRESTIGE SIEGE MASSAGE CAM360 TOIT PANO KEYLESS VO","Voiture Électrique....

Autonomie 383 km 

Traction intégrale de 320 kW à deux moteurs électriques (160 kW av. + 160 kW arr.)

Batterie au lithium-ion de 77,4 kWh

Système de charge multiple (400V/800V)

Suspension à contrôle électronique avec aperu de route

Jantes en alliag...","3,060 km","$76,895",""
"1712863802-35","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Volkswagen ID.4 PRO+RWD+THERMOPOMPE+TOIT-PANO+ROUES-20'","On achète votre véhicule d'échange, peu importe la marque, le modèle ou l'année du véhicule. On achète même sans obligation d'achat de votre part!


*** Véhicule admissible aux programmes VW CPO (qui se traduit par des taux subventionnés à partir de 4.99%, inspection en 112 p...","8,130 km","$45,770",""
"1712863802-36","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2024 BMW i5 M60 xDrive, Premium amélioré, M Sport Pro, Ext. M","- Assistant à la conduite avancé
- Sièges ventilés à l'avant
- Sièges chauffants à l'avant et arrière
- Accès confort
- Toit ouvrant panoramique
- Sièges confort avec support lombaire
- Phares adaptatifs à DEL
- Phares Shadowline
 
- Premium enhanced package
- M Sport Pro pac...","1,214 km","$102,714",""
"1712863802-37","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Chevrolet Bolt EV LT Hatchback Mags Sièges chauffants","*** Prix exclusif aux résidents du Québec, incluant les subventions gouvernementales de 3500$ tx. incluses*** Android Auto, Apple CarPlay, démarreur à distance, caméra de recul, aide au stationnement, avertisseur de dérive de la trajectoire, système anticollision, système de ...","56,543 km","$23,499",""
"1712863802-38","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Kia Sportage Plug-In Hybrid EX PREMIUM, CUIR, TOIT PANORAMIQUE , BAS KILO !","Le Kia Sportage EX Premium 2023 incarne l'excellence dans le segment des VUS compacts, offrant un équilibre parfait entre polyvalence, style et fonctionnalités avancées. Adapté aux routes canadiennes, ce VUS séduit par son design dynamique, sa performance fiable et ses équipem...","13,421 km","$49,985",""
"1712863802-39","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 BMW iX XDRIVE40","Sièges avant massant

Toît panoramique

Volant chauffant

Détecteurs d'angle mort

Sièges avant chauffant

Régulateur de vitesse

Sièges électriques avec mémoire

Éclairage d'ambiance

Apple Carplay/ Android Auto ET BIEN PLUS!

Véhicule propre, inspecté, financement facile et...","46,543 km","$71,977",""
"1712863802-40","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2024 Kia Niro EV Wind+ 400 km et + d'autonomie électrique","** Jamais accidenté ** Un seul propriétaire ** Disponible maintenant ** Aucune attente ** 

- Apple CarPlay + Android auto
- Démarreur à distance 
- Caméra de recul 
- Bouton poussoir 
- Sièges en cuir chauffant 

KIA ST-CONSTANT est situé au 48 rue St Pierre J5A 1B9, propriét...","5,800 km","$41,995",""
"1712863802-41","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Chevrolet Bolt EV LT+LED+SANS CLÉ+COCKPIT+ LT+LED+SANS CLÉ+COCKPIT+","JAMAIS ACCIDENTÉ!! IMPECCABLE!! CAMERA DE RECUL, DEMARRAGE SANS CLÉ, COCKPIT NUMÉRIQUE, BLUETOOTH, SIEGES CHAUFFANTS, JANTE EN ALLIAGE, 100% ELECTRIQUE !! A VOIR !!!

L'expérience Lauzon est à votre entière disposition ! Nous vous proposons une inspection rigoureuse en 112 po...","34,400 km","$31,880",""
"1712863802-42","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Volkswagen ID.4 Pro AWD","LE PLUS ÉQUIPÉ! TRACTION INTEGRALE, SIEGE EN CUIR, TOIT PANORAMIQUE, THERMOPOMPE, CAMERA DE RECUL, NAVIGATION, JAMAIS ACCIDENTÉ, PHARE AU LED, DEMARRAGE SANS CLÉ ET BIEN PLUS !!

L'expérience Lauzon est à votre entière disposition ! Nous vous proposons une inspection rigoureu...","38,000 km","$41,440",""
"1712863802-43","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Mercedes-Benz EQS 580 4MATIC Edition 1 Sedan","EQS 580 EDITION 1 BAS KM *** TAXE DE LUXE INCLUSE ***  100% ELECTRIQUE *** GARANTIE ENREGITRÉ EN DÉCEMBRE 2023 **  516 HP 630 LB-FT ***0-100 4.3 SEC *** AUTONOMIE ALLANT JUSQU'A 547KM // COULEUR HIGT-TECH SILVER // INTERIEUR EN CUIR NAPPA NEVA GREAY ET REFLEX BLUE MANUFAKTUR  ...","3,600 km","$118,695",""
"1712863802-44","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Volkswagen Golf COMFORTLINE 100% ELECTRIQUE CAMERA ELECTRIC RANGE","Jamais accidenté 

Autonomie jusqu'a 198KM par charge dans les conditions idéale,

Android Auto / Apple Carplay....

Sieges Chauffants.....

Camera de Recul....

Phares a DEL....

Jantes en Alliage....

Sieges Electriques....

Air Climatise....

Lecteur DC et MP3....

Bluetoo...","85,501 km","$19,995",""
"1712863802-45","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Volvo C40 Recharge Pure Electric Plus","Climate packageHeated windscreen washer nozzlesHeadlight cleaningHeated rear seatsHeated steering wheelCaméra 360* ---- Climate packageHeated windscreen washer nozzlesHeadlight cleaningHeated rear seatsHeated steering wheel360* Camera","23,215 km","$59,995",""
"1712863802-46","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Chevrolet Bolt EUV GRAND EXPEDITION+CUIR+MAG GRAND EXPEDITION+CUIR+MA","L'expérience Lauzon est à votre entière disposition ! Nous vous proposons une inspection rigoureuse en 112 points mécaniques et un service complet d'esthétique afin de vous offrir les meilleurs véhicules d'occasion au meilleur prix possible. Faites vos achats en toute confian...","74,200 km","$27,890",""
