web-scraper-order,web-scraper-start-url,vehicle-name,vehicle-desc,mileage,price,pagination
"1712863802-1841","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Ford Fusion Energi Titanium HYBRID","Nouvel arrivage! ***Prenez un rendez-vous rapidement!*** LES SPÉCIALISTES DU FINANCEMENT, 100% APPROUVÉS, *FINANCEMENT MAISON DISPONIBLE*. Ouvert 7 jours / 7 Autoclic vous offre plus de 150 véhicules en inventaire de toutes les marques et de tous les prix, allant de 500$ et pl...","89,015 km","$17,995",""
"1712863802-1842","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2014 Nissan LEAF 4dr HB SV","*** 9 999 $ *** 100% électrique Nissan Leaf Zero Émission 2014, 5 passagers, Transmission automatique, 82 035 Km, groupe électrique, air climatisé, régulateur de vitesse, volant ajustable, sièges volant miroirs chauffant, Caméra de recul, radio écran am fm cd bluetooth.

DISPO...","82,035 km","$9,999",""
"1712863802-1843","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Hyundai Ioniq Electric PREFERED AUT CAMERA BLUETOOTH VOLANT CHAUFFANT","PREFERED ELECTRIQUE MIRROIR PORTES ET VITRES ELECTRIQUE CRUISE CONTROL VOLANT CAMERA DE RECUL AJUSTABLE JANTES EN ALLIAGES ET PLUS !! FINANCEMENT FACILE 1 IERE 2IEME 3IEME CHANCES AU CRÉDIT NOS SPÉCIALISTE SONT LA POUR VOUS AIDER !!LIVRAISON RAPIDE ! TOUJOURS PLUS POUR VOTRE E...","115,000 km","$18,979",""
"1712863802-1844","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Nissan LEAF S","Vous recherchez un véhicule écologique, à la fois efficace et élégant ? Cherchez pas plus loin! Voici la Nissan Leaf S 2019, élégante et efficace, avec seulement 45 163 km au compteur! Passez au vert : cette beauté entièrement électrique est votre ticket pour une expérience de...","45,163 km","$19,450",""
"1712863802-1845","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Hyundai Ioniq Electric Ultimate NAVI+CUIR+TOIT.OUVRANT+CARPLAY","**AUCUN FRAIS CACHES** OUVERT 6 JOURS! JAMAIS ACCIDENTE!  Repris en echange d'un de nos client, ne provient pas de l'encan. INSPECTION SECURITAIRE disponible! Pour une conduite en toute securite, digne d'un vrai concessionnaire de confiance. Conditions en succursale.      **NO...","90,508 km","$19,942",""
"1712863802-1846","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Hyundai Ioniq Electric Preferred","PNEUS ÉTÉ ET HIVER ET 2 CLÉS Spinelli Kia est situé à Roxboro et nous sommes ouverts 6 jours par semaine incluant les samedis de 10h à 16h! Nos véhicules sont inspectés par nos mécaniciens certifiés. Obtenez le rapport Carproof gratuitement en ligne. Financement disponible 100...","90,300 km","$19,998",""
"1712863802-1847","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Hyundai Ioniq Electric Preferred","**ELECTRIQUE**SIEGE ET VOLANT CHAUFFANT*FINANCEMENT SPECIAL CERTIFIER VE DISPONIBLE*

Bienvenue chez HYUNDAI CASAVANT. Entreprise familiale de 3 générations, digne de confiance, avec un savoir-faire unique, en affaire depuis 1983.Tous nos véhicules sont minutieusement inspecté...","82,651 km","$20,990",""
"1712863802-1848","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2018 Mitsubishi Outlander PHEV SE Touring S-AWC Plug-in Hybrid Toit ouvrant Cuir","Bienvenue chez Olivier Hyundai St-Basile!

Découvrez notre vaste inventaire de véhicules d'occasion et d'occasion certifiés. Grâce à notre large gamme de plus de 1000 véhicules d'occasion répartis dans l'ensemble du Groupe Olivier, nous sommes en mesure de trouver la perle rar...","105,487 km","$21,994",""
"1712863802-1849","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Hyundai Kona Electric Preferred avec toit bicolore","TRES PROPRE

Bienvenue chez HYUNDAI CASAVANT, concession située à St-Hyacinthe depuis 1983.Entreprise familiale de 3 générations, digne de confiance avec un savoir-faire unique.Tous nos véhicules sont minutieusement inspectés par nos techniciens Hyundai CERTIFIÉS, et TOUS NOS ...","102,555 km","$24,692",""
"1712863802-1850","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Chevrolet Bolt EV LT","***PRIX EXCLUSIF AU RESIDENT DU QUEBEC, PRIX INCLUS LES SUBVENTIONS GOUVERNEMENTALES DE 3500$ TAXES INCLUSES***BOLT EV 2LT 2020 - BAS MILAGE - UN SEUL PROPRIETAIRE - SIEGES CHAUFFANTS - CAMERA DE RECUL - CRUISE CONTROL - COMMANDES AU VOLANT - SYSTEME DE FREINAGE REGENERATIF - ...","55,841 km","$25,995",""
"1712863802-1851","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Hyundai Kona Electric Ultimate","**CUIR**TOIT**

Bienvenue chez HYUNDAI CASAVANT. Entreprise familiale de 3 générations, digne de confiance, avec un savoir-faire unique, en affaire depuis 1983.Tous nos véhicules sont minutieusement inspectés par nos techniciens Hyundai CERTIFIÉS, et TOUS NOS PRIX INCLUENT LE ...","80,472 km","$27,495",""
"1712863802-1852","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Audi RS e-tron GT e-tron GT quattro","NO LUXURY TAX! The RS Etron Audi Quattro that you've always wanted! This 2022 Audi RS Etron GT has a Clean CarFax Report. This vehicle comes with the Performance package, fine nappa leather, panoramic glass roof, 360 camera, Black Optics, and more! Every Audi Certified: Plus v...","24,939 km","$115,888",""
"1712863802-1853","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Chevrolet Bolt EV LOW KMS, RED BEAUTY","Chevrolet Bolt, autonomie 400km, superbe couleur et superbe condition, a l'état du NEUF, 1 seul proprietaire, pas de Carfax et bas millage.

Elle se paie toute seule en économie d'essence.

4 pneus hivers NEUFS !

UNE PERLE pour son heureux nouveau propriétaire.

POSSIBILITÉ D...","48,000 km","$27,500",""
"1712863802-1854","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2020 Toyota Prius Prime TECH| JBL| AFFICHAGE TÊTE-HAUTE","LA VERSION *TECH* VOUS OFFRE DE PLUS QUE LA VERSION *UPGRADE*, LES PHARES ANTIBROUILLARD, LE SYSTÈME DE SON HAUT DE GAMME JBL, LES SONORES DE STATIONNEMENT, L'AFFICHAGE TÊTE-HAUTE, LES ESSUIE-GLACES ACTIVÉS PAR LA PLUIE, LE RÉTROVISEUR À ATTÉNUATION AUTOMATIQUE, LES SIÈGES EN ...","56,046 km","$28,510",""
"1712863802-1855","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Hyundai Kona Electric Preferred VE TA avec toit bicolore","VEHICULE ELECTRIQUE**SIEGE CHAUFFANT**PRET A PARTIR**FINANCEMENT SPECIAL VE DISPONIBLE

Bienvenue chez HYUNDAI CASAVANT, concession située à St-Hyacinthe depuis 1983.Entreprise familiale de 3 générations, digne de confiance avec un savoir-faire unique.Tous nos véhicules sont m...","71,654 km","$28,990",""
"1712863802-1856","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Hyundai Kona Electric Preferred TA avec toit bicolore","ECONOMISER MAINTENANT**BI-COULEUR**PRET POUR LIVRAISON**FINANCEMENT SPECIAL VE DISPONIBLE

Bienvenue chez HYUNDAI CASAVANT. Entreprise familiale de 3 générations, digne de confiance, avec un savoir-faire unique, en affaire depuis 1983.Tous nos véhicules sont minutieusement ins...","61,156 km","$28,990",""
"1712863802-1857","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Hyundai Kona Electric Preferred TA avec toit bicolore","VE**BI-COLOR**SIEGE ET VOLANT CHAUFFANT**FINANCEMENT VOC / VE SPECIAL DISPONIBLE

Bienvenue chez HYUNDAI CASAVANT, concession située à St-Hyacinthe depuis 1983.Entreprise familiale de 3 générations, digne de confiance avec un savoir-faire unique.Tous nos véhicules sont minutie...","83,575 km","$28,995",""
"1712863802-1858","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Hyundai Kona Electric Ultimate,8 PNEUS,CUIR,TOIT,GPS,415 KM AUTONOMIE IC","HYUNDAI KONA EV 2021,ULTIMATE,NAVIGATION (GPS),TOIT OUVRANT,8 PNEUS,SIÈGES CHAUFFANTS ET VENTILÉES,VOLANT CHAUFFANT,CUIR,CAMÉRA DE RECUL,DÉMARRAGE PUSH START,JAMAIS ACCIDENTÉ,SIÈGES ÉLECTRIQUES,HYUNDAI KONA ÉLECTRIQUE A VENDRE,PRÊT A LIVRER

                                  ...","56,686 km","$28,995",""
